Category,Sub-Category,Item,Specification,Quantity,Unit Cost (INR),Total Cost (INR),Cost Type,Budget Code,Justification
CLOUD,AI Platform,Google Cloud AI Platform,ML model deployment,12 months,120000,1440000,A,CLD-AI-001,Managed ML model serving
CLOUD,AI Services,Azure Cognitive Services,OCR & NLP APIs,12 months,60000,720000,A,CLD-AI-002,Pre-trained OCR and NLP models
CLOUD,Database,MongoDB Atlas (M60),Database hosting,12 months,100000,1200000,A,CLD-DB-001,Managed NoSQL database service
CLOUD,Security,Cloudflare Pro,Security & performance,12 months,15000,180000,A,CLD-SEC-001,DDoS protection and CDN
CLOUD,Monitoring,Sentry Enterprise,Error tracking,12 months,25000,300000,A,CLD-MON-001,Application performance monitoring
CLOUD,Repository,GitHub Enterprise,Code repository,12 months,30000,360000,A,CLD-DEV-001,Enterprise code hosting

PERSONNEL,Research,Principal Investigator,PhD - Project Leadership,12 months,200000,2400000,A,HR-RES-001,Overall project direction and research leadership
PERSONNEL,Engineering,Senior ML Engineers,MS/PhD - AI/ML Development,24 person-months,120000,2880000,A,HR-ENG-001,Core machine learning and model development
PERSONNEL,Engineering,Full-Stack Developers,BE/MS - Web Development,36 person-months,80000,2880000,A,HR-ENG-002,Frontend and backend application development
PERSONNEL,Research,Data Scientists,MS/PhD - Algorithm Design,24 person-months,90000,2160000,A,HR-RES-002,Statistical analysis and algorithm optimization
PERSONNEL,Quality,QA Engineers,BE - Testing & Validation,24 person-months,60000,1440000,A,HR-QA-001,Quality assurance and testing
PERSONNEL,Design,UI/UX Designers,Design Degree - Interface Design,24 person-months,50000,1200000,A,HR-DES-001,User interface and experience design
PERSONNEL,Management,Project Coordinator,MBA - Project Management,12 months,70000,840000,A,HR-MGT-001,Project coordination and administration
PERSONNEL,Engineering,DevOps Engineer,BE - Infrastructure,12 months,90000,1080000,A,HR-ENG-003,Cloud infrastructure and deployment
PERSONNEL,Research,Research Assistants,BTech/MTech - Research Support,36 person-months,40000,1440000,A,HR-RES-003,Data collection and research assistance

TRAINING,Certification,AWS Certifications,ML Specialty & Solutions Architect,4 certifications,50000,200000,A,TR-CERT-001,Cloud platform expertise
TRAINING,Workshops,Federated Learning Workshop,Specialized industry training,1 workshop,300000,300000,A,TR-WKS-001,Advanced FL techniques and best practices
TRAINING,Compliance,Medical AI Ethics Training,Healthcare regulations compliance,1 training,150000,150000,A,TR-ETH-001,HIPAA and medical ethics training
TRAINING,Security,Security Certifications,HIPAA & GDPR compliance,3 certifications,50000,150000,A,TR-SEC-001,Data security and privacy compliance

TRAVEL,International,Conference Travel,2 International Conferences (Airfare + Hotel),2 conferences,200000,400000,A,TR-INT-001,Research dissemination at NeurIPS/ICML/CVPR
TRAVEL,National,National Conferences,3 National Conferences,3 conferences,40000,120000,A,TR-NAT-001,Regional research collaboration
TRAVEL,Field,Hospital Visits,Requirements and validation testing,8 visits,10000,80000,A,TR-FLD-001,Stakeholder engagement and testing

MISCELLANEOUS,Office,Office Supplies,Stationery and consumables,12 months,25000,300000,A,MISC-OFF-001,General office supplies
MISCELLANEOUS,Utilities,Internet & Utilities,High-speed internet and electricity,12 months,30000,360000,A,MISC-UTL-001,Connectivity and power costs
MISCELLANEOUS,Licenses,Miscellaneous Licenses,Small tools and utilities,12 months,20000,240000,A,MISC-LIC-001,Various development tools
MISCELLANEOUS,Printing,Publication Costs,Paper printing and conference fees,1,300000,300000,A,MISC-PUB-001,Research paper publication fees

CONTINGENCY,Buffer,Hardware Contingency,Hardware failures or upgrades,1,500000,500000,B,CONT-HW-001,10% hardware contingency
CONTINGENCY,Buffer,Cloud Contingency,Unexpected cloud overruns,1,800000,800000,A,CONT-CLD-001,Cloud cost buffer
CONTINGENCY,Buffer,Personnel Contingency,Extended development time,1,300000,300000,A,CONT-HR-001,Personnel cost buffer
CONTINGENCY,Buffer,Research Contingency,Extended research and testing,1,400000,400000,A,CONT-RES-001,Research extension buffer
CONTINGENCY,Buffer,General Contingency,Miscellaneous unforeseen costs,1,222000,222000,Mixed,CONT-GEN-001,General contingency (remaining)

SUMMARY,Total Non-Recurring (B),,,,,,6630000,B,,One-time hardware and infrastructure costs
SUMMARY,Total Recurring Annual (A),,,,,,22192000,A,,Annual operating costs (12 months)
SUMMARY,TOTAL PROJECT BUDGET,,,,,,28822000,Mixed,,Total 12-month project budget
